"benchmark_name","program_name","score"
"AWS","/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/SerializeFunctions",100
"DafnyBench","Clover_all_digits",100
"DafnyBench","Clover_avg",100
"DafnyBench","Clover_compare",100
"DafnyBench","Clover_convert_map_key",100
"DafnyBench","Clover_double_quadruple",100
"DafnyBench","Clover_integer_square_root",100
"DafnyBench","Clover_linear_search1",98.0769230769231
"DafnyBench","Clover_linear_search3",100
"DafnyBench","Clover_modify_2d_array",100
"DafnyBench","Clover_replace",98.1818181818182
"DafnyBench","Clover_return_seven",100
"DafnyBench","Clover_reverse",98.5915492957747
"DafnyBench","Clover_slope_search",98.8636363636364
"DafnyBench","Clover_swap_in_array",100
"DafnyBench","Clover_test_array",100
"DafnyBench","Clover_triple",100
"DafnyBench","Clover_triple4",100
"DafnyBench","Clover_update_map",100
"DafnyBench","Dafny-Exercises_tmp_tmpjm75muf__Session7Exercises_ExerciseReplace",98.3606557377049
"DafnyBench","DafnyPrograms_tmp_tmp74_f9k_c_invertarray",98.5915492957747
"DafnyBench","Dafny_tmp_tmp0wu8wmfr_tests_Search1000",98.4924623115578
"DafnyBench","MFES_2021_tmp_tmpuljn8zd9_Exams_Special_Exam_03_2020_4_CatalanNumbers",98.4126984126984
"DafnyBench","MFES_2021_tmp_tmpuljn8zd9_FCUL_Exercises_10_find",98.2456140350877
"DafnyBench","Metodos_Formais_tmp_tmpql2hwcsh_Arrays_somatorioArray",100
"DafnyBench","Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_advanced examples_Modules",100
"DafnyBench","Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from_dafny_main_repo_dafny0_snapshots_Inputs_Snapshots1",100
"DafnyBench","SENG2011_tmp_tmpgk5jq85q_ass1_ex7",100
"DafnyBench","Workshop_tmp_tmp0cu11bdq_Workshop_Answers_Question5",100
"DafnyBench","cs245-verification_tmp_tmp0h_nxhqp_Assignments_simple",100
"DafnyBench","cs245-verification_tmp_tmp0h_nxhqp_power",98.1818181818182
"DafnyBench","cs245-verification_tmp_tmp0h_nxhqp_quicksort-partition",99.3975903614458
"DafnyBench","dafleet_tmp_tmpa2e4kb9v_0001-0050_0001-two-sum",100
"DafnyBench","dafny-language-server_tmp_tmpkir0kenl_Test_dafny0_snapshots_Inputs_Snapshots0",100
"DafnyBench","dafny-synthesis_task_id_101",100
"DafnyBench","dafny-synthesis_task_id_105",100
"DafnyBench","dafny-synthesis_task_id_106",100
"DafnyBench","dafny-synthesis_task_id_127",100
"DafnyBench","dafny-synthesis_task_id_135",100
"DafnyBench","dafny-synthesis_task_id_139",100
"DafnyBench","dafny-synthesis_task_id_14",100
"DafnyBench","dafny-synthesis_task_id_143",100
"DafnyBench","dafny-synthesis_task_id_17",100
