"benchmark_name","program_name","score"
"AWS","/AwsEncryptionSDK/dafny/AwsEncryptionSdk/src/Serialize/SerializeFunctions",100
"DafnyBench","CVS-Projto1_tmp_tmpb1o0bu8z_proj1_proj1",95.2054794520548
"DafnyBench","Clover_all_digits",100
"DafnyBench","Clover_array_append",96.551724137931
"DafnyBench","Clover_array_concat",97.5
"DafnyBench","Clover_array_product",96.2264150943396
"DafnyBench","Clover_array_sum",96.078431372549
"DafnyBench","Clover_avg",100
"DafnyBench","Clover_below_zero",95.5555555555556
"DafnyBench","Clover_binary_search",95.7894736842105
"DafnyBench","Clover_bubble_sort",97.2727272727273
"DafnyBench","Clover_cal_ans",95.0819672131148
"DafnyBench","Clover_cal_sum",96.078431372549
"DafnyBench","Clover_canyon_search",96.2962962962963
"DafnyBench","Clover_compare",100
"DafnyBench","Clover_convert_map_key",100
"DafnyBench","Clover_double_array_elements",97.7777777777778
"DafnyBench","Clover_double_quadruple",100
"DafnyBench","Clover_has_close_elements",95.3020134228188
"DafnyBench","Clover_integer_square_root",100
"DafnyBench","Clover_linear_search1",98.0769230769231
"DafnyBench","Clover_linear_search2",96.1538461538462
"DafnyBench","Clover_linear_search3",100
"DafnyBench","Clover_longest_prefix",95.4545454545455
"DafnyBench","Clover_match",97.0588235294118
"DafnyBench","Clover_max_array",95.4545454545455
"DafnyBench","Clover_min_array",95.0819672131148
"DafnyBench","Clover_min_of_two",95.6521739130435
"DafnyBench","Clover_modify_2d_array",100
"DafnyBench","Clover_multi_return",96.2962962962963
"DafnyBench","Clover_quotient",95.9183673469388
"DafnyBench","Clover_remove_front",96.2264150943396
"DafnyBench","Clover_replace",98.1818181818182
"DafnyBench","Clover_return_seven",100
"DafnyBench","Clover_reverse",98.5915492957747
"DafnyBench","Clover_rotate",96.7213114754098
"DafnyBench","Clover_selectionsort",97.3451327433628
"DafnyBench","Clover_seq_to_array",95.4545454545455
"DafnyBench","Clover_slope_search",98.8636363636364
"DafnyBench","Clover_swap_in_array",100
"DafnyBench","Clover_test_array",100
"DafnyBench","Clover_triple",100
"DafnyBench","Clover_triple4",100
"DafnyBench","Clover_update_array",95.8333333333333
"DafnyBench","Clover_update_map",100
"DafnyBench","Dafny-Exercises_tmp_tmpjm75muf__Session10Exercises_ExerciseBarrier",97.1830985915493
"DafnyBench","Dafny-Exercises_tmp_tmpjm75muf__Session2Exercises_ExercisePositive",97.4576271186441
"DafnyBench","Dafny-Exercises_tmp_tmpjm75muf__Session2Exercises_ExerciseSquare_root",97.5124378109453
"DafnyBench","Dafny-Exercises_tmp_tmpjm75muf__Session3Exercises_ExerciseMaximum",95.1048951048951
"DafnyBench","Dafny-Exercises_tmp_tmpjm75muf__Session4Exercises_ExerciseContained",95.3947368421053
"DafnyBench","Dafny-Exercises_tmp_tmpjm75muf__Session4Exercises_ExerciseFirstNegative",95.3846153846154
"DafnyBench","Dafny-Exercises_tmp_tmpjm75muf__Session4Exercises_ExercisefirstZero",96.1538461538462
